Course , D3 , JavaScript , Tableau , Excel , HTML 5 , R , Other 
1, X ,  ,  ,  ,  ,  ,  
2, X , X ,  ,  ,  ,  ,  
3,  ,  , X , X ,  ,  ,  
4,  ,  ,  ,  ,  ,  ," Java, GIMP "
5, X , X ,  ,  , X ,  ,  
6, X ,  ,  , X , X , X ," Matlab, Open GL "
7,  , X ,  ,  ,  ,  ,  
8,  ,  ,  ,  ,  ,  ,  
9,  ,  , X ,  ,  , X , Oracle APEX
10,  ,  ,  , X ,  ,  ,"Gephi to Cytoscape, Palladio,  Google Earth, QGIS,CartoDB,  TimeMapper, Google Fusion Tables,  Excel charts, Wordle, Tagcrowd,  Voyant, Mallet, Word 2 Vec, Stanford Topic Modeling Toolbox"
11, X ,  , X ,  ,  ,  ," Highcharts, Adobe Illustrator "
12,  ,  ,  ,  ,  ,  ,  
13,  ,  ,  ,  ,  ,  ,  
14, X ,  , X , X ,  , X ," Google Charts, Dreamweaver, PPT "
15,  ,  ,  ,  ,  , X ,  
16, X ,  ,  ,  ,  ,  ,  
17,  ,  ,  , X ,  , X ,  
18,  ,  ,  ,  ,  , X , 
